ENSDARP00000136350.1	ENSDARP00000152373.1
ENSDARP00000133086.1	ENSDARP00000131686.2
ENSDARP00000138273.1	ENSDARP00000015862.8
ENSDARP00000138224.1	ENSDARP00000135021.1
ENSDARP00000126495.2	ENSDARP00000059226.4
ENSDARP00000136404.1	ENSDARP00000132536.1
ENSDARP00000037484.6	ENSDARP00000096836.3
ENSDARP00000120464.1	ENSDARP00000140583.1
ENSDARP00000108510.1	ENSDARP00000154787.1
ENSDARP00000103376.4	ENSDARP00000152267.1
ENSDARP00000127487.1	ENSDARP00000157469.1
ENSDARP00000145212.1	ENSDARP00000103212.4
ENSDARP00000032940.4	ENSDARP00000148426.1
ENSDARP00000128209.1	ENSDARP00000147605.1
ENSDARP00000065124.5	ENSDARP00000057573.6
ENSDARP00000100431.2	ENSDARP00000094364.3
ENSDARP00000135731.1	ENSDARP00000145225.1
ENSDARP00000156251.1	ENSDARP00000114616.1
ENSDARP00000138946.2	ENSDARP00000144892.1
ENSDARP00000103132.3	ENSDARP00000097836.4
ENSDARP00000119654.1	ENSDARP00000151338.1
ENSDARP00000140015.2	ENSDARP00000087119.5
ENSDARP00000026028.7	ENSDARP00000133158.2
ENSDARP00000078100.5	ENSDARP00000155784.1
ENSDARP00000072428.4	ENSDARP00000151758.1
ENSDARP00000125405.1	ENSDARP00000125458.1
ENSDARP00000006831.4	ENSDARP00000157569.1
ENSDARP00000124983.1	ENSDARP00000151177.1
ENSDARP00000127252.1	ENSDARP00000154519.1
ENSDARP00000072953.3	ENSDARP00000153645.1
ENSDARP00000029174.8	ENSDARP00000121364.1
ENSDARP00000129239.1	ENSDARP00000129681.1
ENSDARP00000138914.1	ENSDARP00000124781.1
ENSDARP00000023622.7	ENSDARP00000107935.3
ENSDARP00000073671.5	ENSDARP00000149148.1
ENSDARP00000069672.3	ENSDARP00000155288.1
ENSDARP00000037509.5	ENSDARP00000146345.1
ENSDARP00000124096.1	ENSDARP00000155227.1
ENSDARP00000107223.2	ENSDARP00000075731.5
ENSDARP00000106008.2	ENSDARP00000154819.1
ENSDARP00000137672.1	ENSDARP00000150251.1
ENSDARP00000016888.5	ENSDARP00000132948.2
ENSDARP00000038292.2	ENSDARP00000119578.1
ENSDARP00000139089.1	ENSDARP00000153985.1
ENSDARP00000083775.4	ENSDARP00000147215.1
ENSDARP00000103772.2	ENSDARP00000152992.1
ENSDARP00000086028.4	ENSDARP00000146703.1
ENSDARP00000059002.5	ENSDARP00000096944.4
ENSDARP00000114470.2	ENSDARP00000153302.1
ENSDARP00000054658.5	ENSDARP00000145292.1
ENSDARP00000027753.11	ENSDARP00000151833.1
ENSDARP00000009909.8	ENSDARP00000132071.1
ENSDARP00000095629.3	ENSDARP00000133797.2
ENSDARP00000136522.1	ENSDARP00000149417.1
ENSDARP00000109920.1	ENSDARP00000148562.1
ENSDARP00000067361.5	ENSDARP00000155708.1
ENSDARP00000099447.2	ENSDARP00000147822.1
ENSDARP00000121474.2	ENSDARP00000067381.4
ENSDARP00000013839.6	ENSDARP00000039280.7
ENSDARP00000143584.1	ENSDARP00000135894.2
ENSDARP00000091557.4	ENSDARP00000155957.1
ENSDARP00000071267.7	ENSDARP00000154608.1
ENSDARP00000045990.6	ENSDARP00000145023.1
ENSDARP00000005408.7	ENSDARP00000147967.1
ENSDARP00000109109.2	ENSDARP00000155160.1
ENSDARP00000123040.1	ENSDARP00000113113.1
ENSDARP00000084693.6	ENSDARP00000132004.2
ENSDARP00000074184.4	ENSDARP00000135220.2
ENSDARP00000061298.5	ENSDARP00000153264.1
ENSDARP00000136884.1	ENSDARP00000149654.1
ENSDARP00000070894.2	ENSDARP00000156554.1
ENSDARP00000085538.4	ENSDARP00000145616.1
ENSDARP00000072733.5	ENSDARP00000153727.1
ENSDARP00000076732.4	ENSDARP00000154086.1
ENSDARP00000115761.2	ENSDARP00000142120.1
ENSDARP00000121816.2	ENSDARP00000113430.2
ENSDARP00000122985.1	ENSDARP00000122571.2
ENSDARP00000095363.4	ENSDARP00000114349.1
ENSDARP00000137558.1	ENSDARP00000147608.1
ENSDARP00000064645.5	ENSDARP00000153013.1
ENSDARP00000145936.1	ENSDARP00000074550.5
ENSDARP00000027577.8	ENSDARP00000027542.5
ENSDARP00000016308.5	ENSDARP00000146707.1
ENSDARP00000038316.6	ENSDARP00000152510.1
ENSDARP00000014422.7	ENSDARP00000057420.3
ENSDARP00000104838.2	ENSDARP00000144775.1
ENSDARP00000068650.4	ENSDARP00000041318.4
ENSDARP00000088524.4	ENSDARP00000137169.1
ENSDARP00000054651.5	ENSDARP00000141559.2
ENSDARP00000060192.3	ENSDARP00000146105.1
ENSDARP00000118992.1	ENSDARP00000155763.1
ENSDARP00000130467.1	ENSDARP00000151497.1
ENSDARP00000069661.4	ENSDARP00000151707.1
ENSDARP00000101391.2	ENSDARP00000149775.1
ENSDARP00000110389.2	ENSDARP00000150554.1
ENSDARP00000078703.4	ENSDARP00000155599.1
ENSDARP00000052473.3	ENSDARP00000147017.1
ENSDARP00000067816.3	ENSDARP00000138333.1
ENSDARP00000042682.6	ENSDARP00000154480.1
ENSDARP00000096455.4	ENSDARP00000154210.1
ENSDARP00000060763.5	ENSDARP00000153513.1
ENSDARP00000096613.4	ENSDARP00000138164.1
ENSDARP00000128996.1	ENSDARP00000148342.1
ENSDARP00000134193.1	ENSDARP00000137200.1
ENSDARP00000050933.3	ENSDARP00000156112.1
ENSDARP00000113545.1	ENSDARP00000131466.1
ENSDARP00000092447.4	ENSDARP00000155662.1
ENSDARP00000124225.1	ENSDARP00000052112.5
ENSDARP00000133063.1	ENSDARP00000114173.3
ENSDARP00000117212.1	ENSDARP00000144669.1
ENSDARP00000122548.1	ENSDARP00000117809.1
ENSDARP00000122559.1	ENSDARP00000152532.1
ENSDARP00000020485.7	ENSDARP00000149870.1
ENSDARP00000086605.5	ENSDARP00000149639.1
ENSDARP00000051973.3	ENSDARP00000137479.2
ENSDARP00000065384.5	ENSDARP00000100256.4
ENSDARP00000068161.4	ENSDARP00000154279.1
ENSDARP00000018627.8	ENSDARP00000139439.1
ENSDARP00000095458.6	ENSDARP00000113417.1
ENSDARP00000062602.4	ENSDARP00000116108.1
ENSDARP00000069436.4	ENSDARP00000146520.1
ENSDARP00000123324.1	ENSDARP00000152423.1
ENSDARP00000135830.1	ENSDARP00000052661.4
ENSDARP00000050220.4	ENSDARP00000004741.5
ENSDARP00000106803.2	ENSDARP00000141729.2
ENSDARP00000104106.2	ENSDARP00000145204.1
ENSDARP00000054709.4	ENSDARP00000150740.1
ENSDARP00000089953.1	ENSDARP00000074456.3
ENSDARP00000112281.1	ENSDARP00000040785.4
ENSDARP00000119651.1	ENSDARP00000117293.1
ENSDARP00000082141.5	ENSDARP00000155997.1
ENSDARP00000155361.1	ENSDARP00000155230.1
ENSDARP00000084432.3	ENSDARP00000157363.1
ENSDARP00000144560.1	ENSDARP00000150538.1
ENSDARP00000155466.1	ENSDARP00000152010.1
ENSDARP00000040556.4	ENSDARP00000094755.3
ENSDARP00000071058.5	ENSDARP00000154315.1
ENSDARP00000072602.4	ENSDARP00000148124.1
ENSDARP00000095135.3	ENSDARP00000156721.1
ENSDARP00000121943.1	ENSDARP00000156420.1
ENSDARP00000057612.4	ENSDARP00000136385.2
ENSDARP00000126656.1	ENSDARP00000126916.1
ENSDARP00000112010.1	ENSDARP00000151764.1
ENSDARP00000009513.7	ENSDARP00000002435.9
ENSDARP00000116514.1	ENSDARP00000099381.2
ENSDARP00000033859.7	ENSDARP00000145680.1
ENSDARP00000154184.1	ENSDARP00000150257.1
ENSDARP00000007267.7	ENSDARP00000118741.1
ENSDARP00000027106.7	ENSDARP00000152646.1
ENSDARP00000070968.4	ENSDARP00000091419.3
ENSDARP00000004205.5	ENSDARP00000119402.1
ENSDARP00000091581.4	ENSDARP00000148119.1
ENSDARP00000122561.1	ENSDARP00000145780.1
ENSDARP00000077842.4	ENSDARP00000145841.1
ENSDARP00000012943.8	ENSDARP00000133669.1
ENSDARP00000157188.1	ENSDARP00000153152.1
ENSDARP00000142895.1	ENSDARP00000144930.1
ENSDARP00000112616.1	ENSDARP00000125891.1
ENSDARP00000009194.5	ENSDARP00000146806.1
ENSDARP00000139312.1	ENSDARP00000109712.2
ENSDARP00000092724.4	ENSDARP00000156753.1
ENSDARP00000081636.4	ENSDARP00000141897.2
ENSDARP00000084739.5	ENSDARP00000050596.7
ENSDARP00000051662.5	ENSDARP00000131138.2
ENSDARP00000111504.2	ENSDARP00000151983.1
ENSDARP00000126367.1	ENSDARP00000135405.1
ENSDARP00000013898.6	ENSDARP00000148924.1
ENSDARP00000072767.5	ENSDARP00000133495.2
ENSDARP00000124271.1	ENSDARP00000007330.6
ENSDARP00000081879.5	ENSDARP00000151269.1
