chromosome,n_windows,pearson_r,pearson_pval,spearman_rho,spearman_pval
NC_007112.7,60,-0.2048608070568283,0.11637603916808904,-0.22156154487357604,0.08888247766842884
NC_007113.7,60,-0.28982911901467895,0.02468917446845592,-0.29886079466518484,0.020364902335705787
NC_007114.7,63,-0.3581480834926577,0.003950905869652245,-0.41162634408602156,0.0008032624245457534
NC_007115.7,79,-0.09790891820072473,0.39065632855161847,-0.21718597857838368,0.05452534807017163
NC_007116.7,73,-0.24251218905844002,0.038712373231979604,-0.2245773170430705,0.05611409157979996
NC_007117.7,61,-0.355327707871231,0.004952272484298874,-0.3032786885245901,0.017504599022895685
NC_007118.7,75,-0.04327348802943348,0.7123977729757507,-0.06386913229018491,0.5861738078230468
NC_007119.7,55,-0.3816213261001295,0.004042273800635244,-0.3331168831168832,0.012949862914856065
NC_007120.7,57,-0.2576460275884927,0.053003299444802095,-0.27080632616022815,0.04160082293370108
NC_007121.7,46,-0.2896723014514431,0.05085802719223219,-0.19938328707986433,0.18402909580758472
NC_007122.7,46,-0.32873760357655524,0.025704499432956815,-0.3461609620721554,0.018446233988467207
NC_007123.7,50,-0.21594854418646328,0.13201585064713312,-0.2368787515006002,0.09766371221156606
NC_007124.7,53,-0.1585220087114827,0.2569098002440107,-0.24028382518948554,0.08308301355235986
NC_007125.7,53,-0.17236092848704507,0.21714828581248222,-0.035236252217384294,0.8022125652350721
NC_007126.7,49,-0.24991762614212054,0.08329816976137111,-0.348469387755102,0.014136874457445386
NC_007127.7,56,-0.11887379283533714,0.38287779702446084,-0.22030075187969925,0.10278264782537552
NC_007128.7,54,-0.27021726413395747,0.048137565462954134,-0.26464646464646463,0.05312835368429023
NC_007129.7,52,-0.3509869761811736,0.010734964993418332,-0.3505506701955093,0.010839816679780253
NC_007130.7,49,-0.19597293333035765,0.17716847448993278,-0.16918367346938773,0.24518935628072655
NC_007131.7,56,-0.44871728865779964,0.0005232356099172085,-0.4207108680792892,0.001244129823221546
NC_007132.7,46,-0.36010280236415015,0.01396306874496335,-0.3853839037927845,0.008171602767746445
NC_007133.7,40,-0.14493674279466945,0.3722226430961181,-0.2671669793621013,0.09559789991110061
NC_007134.7,47,-0.3281506534553958,0.024330628646155802,-0.2701202590194265,0.06631538905697344
NC_007135.7,43,0.0009127578725070147,0.9953651322064657,-0.16611295681063123,0.2870588626138067
NC_007136.7,38,-0.1447342965106629,0.38595517817184,-0.1902834008097166,0.2525014887437137
